Time,Tree,Shoot,Length,Width,Area,
EARLY,8,SC,240,41,67.7,
EARLY,8,SC,137,25,27.4,
EARLY,8,SC,195,39,54.4,
EARLY,8,SC,250,42,71.7,
EARLY,8,SC,196,31,47.6,
EARLY,8,SC,180,33,44.7,
EARLY,8,SC,157,27,31.2,
EARLY,8,SC,220,38,57.2,
EARLY,8,SC,140,36,40,
EARLY,8,SC,160,35,36.8,
EARLY,8,SC,130,30,30,
EARLY,8,SC,95,24,15.1,
EARLY,8,SC,150,48,52.8,
EARLY,10,TR,175,62,83.5,
EARLY,10,TR,160,55,66.6,
EARLY,10,TR,210,55,82.5,
EARLY,10,TR,207,49,73.4,
EARLY,10,TR,233,44,62.8,
EARLY,10,TR,150,33,30,
EARLY,10,TR,220,40,58.1,
EARLY,10,TR,205,62,100,
EARLY,10,TR,187,57,85.3,
EARLY,10,TR,250,61,111.3,
EARLY,10,TR,228,54,85.4,
EARLY,10,TR,260,53,90.5,
EARLY,10,TR,240,48,76.8,
EARLY,10,TR,295,48,86.5,
EARLY,10,TR,245,44,66.6,
EARLY,10,TR,175,43,48.1,
EARLY,10,TR,195,38,45,
EARLY,3,BC,210,34,53.2,
EARLY,3,BC,147,31,38.6,
EARLY,3,BC,260,46,88,
EARLY,3,BC,242,45,83.4,
EARLY,3,BC,206,31,49.6,
EARLY,3,BC,207,37,59.3,
EARLY,3,BC,257,41,83.4,
EARLY,3,BC,255,43,82.3,
EARLY,3,BC,190,34,52.8,
EARLY,3,BC,110,22,18.5,
EARLY,3,BC,108,24,20.2,
EARLY,3,BC,100,17,13.1,
EARLY,3,BC,65,17,8.3,
EARLY,3,BC,52,12,3.9,
EARLY,8,BC,187,50,73.6,
EARLY,8,BC,185,51,80.7,
EARLY,8,BC,149,61,72.2,
EARLY,8,BC,224,48,73.6,
EARLY,8,BC,146,53,60.4,
EARLY,8,BC,220,55,88.9,
EARLY,8,BC,205,58,84.4,
EARLY,8,BC,140,60,66.2,
EARLY,8,BC,145,56,61.6,
EARLY,8,BC,213,50,69.9,
EARLY,8,BC,195,53,77,
EARLY,8,BC,215,53,84.3,
EARLY,8,BC,147,50,57.5,
EARLY,8,BC,124,42,38.2,
EARLY,8,BC,111,37,33.7,
EARLY,8,BC,136,56,58.9,
EARLY,8,BC,140,50,53.6,
EARLY,8,BC,140,42,48.4,
EARLY,2,TR,162,33,43.3,
EARLY,2,TR,150,32,41.9,
EARLY,2,TR,193,35,52,
EARLY,2,TR,82,17,10.6,
EARLY,2,TR,193,34,52.5,
EARLY,2,TR,192,40,54.8,
EARLY,2,TR,80,17,9.3,
EARLY,2,TR,136,35,36.6,
EARLY,2,TR,182,40,55.6,
EARLY,2,TR,192,39,58.2,
EARLY,2,TR,224,42,68.7,
EARLY,2,TR,216,41,59.5,
EARLY,2,TR,110,32,27.6,
EARLY,2,TR,170,33,44.2,
EARLY,2,TR,250,35,56.8,
EARLY,2,TR,185,37,51.1,
EARLY,2,TR,174,32,44.2,
EARLY,17,BC,250,41,74.1,
EARLY,17,BC,176,26,34.3,
EARLY,17,BC,228,36,62.9,
EARLY,17,BC,247,43,76.1,
